Cookie Orders;;;;;
;;;;;
Customer Name;Cookie Type;Quantity;Delivery Method;Fulfilled;
ACME Bites;Chocolate Chip;19;Pigeon;Yes;
Wholesome Foods;Fortune;42;Drone;Yes;
Croger Company;Chocolate Chip;74;Pneumatic tube;Yes;
Litl;Macadamia;69;Drone;Yes;
CoWin;Macadamia;68;Pigeon;Yes;
Trader Moe's;Chocolate Chip;78;Drone;Yes;
Publics;Snickerdoodle;92;Pneumatic tube;Yes;
ACME Bites;Snickerdoodle;56;Pneumatic tube;Yes;
Wholesome Foods;Snickerdoodle;65;Pneumatic tube;Yes;
Croger Company;Chocolate Chip;84;Pigeon;No;
Litl;Chocolate Chip;43;Drone;No;
Trader Moe's;Chocolate Chip;79;Drone;No;
Wholesome Foods;Chocolate Chip;79;Pigeon;No;
